lat,lon,OBJECTID,Loc_name,Status,Score,Match_type,Match_addr,Side,User_fld,Addr_type,IN_Street,IN_City,IN_ZIP,IN_State,USER_Date,USER_Address,USER_City,USER_State,USER_Fatal,USER_Year
-86.21286318,41.66935814,1,Danielle-Cente,M,100,A,"700 S 24TH ST, SOUTH BEND, 46615",L,0,StreetAddress,700 S 24th St. ,South Bend,,IN,2017/09/05 05:00:00+00,700 S 24th St. ,South Bend,IN,No,2017
-86.21166947,41.67132726,2,Danielle-Cente,M,100,A,"500 S 25TH ST, SOUTH BEND, 46615",L,0,StreetAddress,500 S 25th St. ,South Bend,,IN,2016/10/19 05:00:00+00,500 S 25th St. ,South Bend,IN,Yes,2016
-86.21065185,41.70616625,3,Danielle-Cente,T,88.59,A,"54100 27TH ST, SOUTH BEND, 46635",L,0,StreetAddress,700 S 27th St. ,South Bend,,IN,2015/05/16 05:00:00+00,700 S 27th St. ,South Bend,IN,No,2015
-86.20382566,41.66045742,4,Danielle-Cente,M,100,A,"1300 S 31ST ST, SOUTH BEND, 46615",R,0,StreetAddress,1300 S 31st. St. ,South Bend,,IN,2016/12/11 05:00:00+00,1300 S 31st. St. ,South Bend,IN,Yes,2016
-86.19908204,41.6624665,5,Danielle-Cente,M,100,A,"1200 S 35TH ST, SOUTH BEND, 46615",R,0,StreetAddress,1200 S 35th St. ,South Bend,,IN,2017/08/01 05:00:00+00,1200 S 35th St. ,South Bend,IN,No,2017
-86.19784616,41.67029022,6,Danielle-Cente,M,100,A,"600 S 36TH ST, SOUTH BEND, 46615",L,0,StreetAddress,600 S 36th St. ,South Bend,,IN,2016/10/10 05:00:00+00,600 S 36th St. ,South Bend,IN,No,2016
-86.27518074,41.68755185,7,Danielle-Cente,M,100,A,"1000 N ADAMS ST, SOUTH BEND, 46628",R,0,StreetAddress,1000 N Adams St. ,South Bend,,IN,2015/08/17 05:00:00+00,1000 N Adams St. ,South Bend,IN,No,2015
-86.27525819,41.69083001,8,Danielle-Cente,M,79,A,"1201 N ADAMS ST, SOUTH BEND, 46628",L,0,StreetAddress,1200 N Adams St. ,South Bend,,IN,2015/12/08 05:00:00+00,1200 N Adams St. ,South Bend,IN,No,2015
-86.26578438,41.68296298,9,Danielle-Cente,M,100,A,"500 N ALLEN ST, SOUTH BEND, 46616",L,0,StreetAddress,500 N Allen St. ,South Bend,,IN,2015/12/26 05:00:00+00,500 N Allen St. ,South Bend,IN,No,2015
-86.26605395,41.68387656,10,Danielle-Cente,M,100,A,"700 N ALLEN ST, SOUTH BEND, 46616",R,0,StreetAddress,700 N Allen St. ,South Bend,,IN,2016/11/13 05:00:00+00,700 N Allen St. ,South Bend,IN,No,2016
